Metric,Value
P99.99ServiceTimeSavedRatio2,0.01324293464142634
P99.99ServiceTimeUsedWithPut2,31.653551045258627
P99.99ServiceTimeWithPutUtil2,146.54421780212326
P99.99ServiceTimeSavedWithPutRatio2,0.00986735126774585
P99.999ServiceTimeUsed2,31.34625330478526
P99.999ServiceTimeUtil2,145.12154307770953
P99.999ServiceTimeSavedRatio2,0.006270644228476674
P99.999ServiceTimeUsedWithPut2,33.344963845939034
P99.999ServiceTimeWithPutUtil2,154.37483262008814
P99.999ServiceTimeSavedWithPutRatio2,0.0056545784239202534
ServiceTimeUsed3,3771.8794335659727
ServiceTimeUtil3,17.32834177745225
ServiceTimeUsedOnPut3,3771.8794335659727
ServiceTimeOnPutUtil3,17.32834177745225
ServiceTimeOnPrefetchRatio3,0.0
ServiceTimeSavedRatio3,0.09583088746652335
PeakServiceTimeUsed3,31.547493007162757
PeakServiceTimeSavedRatio3,0.005317492349343422
PeakServiceTimeUtil3,146.05320836649426
PeakServiceTimeUsedWithPut3,33.539891608561334
PeakServiceTimeUsedWithPutUtil3,155.27727596556173
PeakServiceTimeSavedWithPutRatio3,0.00500319325171672
P50ServiceTimeUsed3,3.752650349648036
P50ServiceTimeUtil3,17.37338124837054
P50ServiceTimeSavedRatio3,0.037400080272675496
P50ServiceTimeUsedWithPut3,4.753276223776098
P50ServiceTimeWithPutUtil3,22.00590844340786
P50ServiceTimeSavedWithPutRatio3,0.03714920629320462
P90ServiceTimeUsed3,5.313040909089296
P90ServiceTimeUtil3,24.59741161615415
P90ServiceTimeSavedRatio3,0.04924210215342739
P90ServiceTimeUsedWithPut3,6.528938111882406
P90ServiceTimeWithPutUtil3,30.226565332788912
P90ServiceTimeSavedWithPutRatio3,0.049189354004561814
P95ServiceTimeUsed3,5.795728146843589
P95ServiceTimeUtil3,26.832074753905506
P95ServiceTimeSavedRatio3,0.050941427387233285
P95ServiceTimeUsedWithPut3,7.192391258734407
P95ServiceTimeWithPutUtil3,33.29810767932596
P95ServiceTimeSavedWithPutRatio3,0.039749295786336236
P99ServiceTimeUsed3,7.454979685326223
P99ServiceTimeUtil3,34.513794839473256
P99ServiceTimeSavedRatio3,0.05256862501497439
P99ServiceTimeUsedWithPut3,8.675100244751611
P99ServiceTimeWithPutUtil3,40.162501133109316
P99ServiceTimeSavedWithPutRatio3,0.05720329399368296
P99.5ServiceTimeUsed3,7.964050996494213
P99.5ServiceTimeUtil3,36.87060646525098
P99.5ServiceTimeSavedRatio3,0.09871918444590688
P99.5ServiceTimeUsedWithPut3,9.550871083941317
P99.5ServiceTimeWithPutUtil3,44.21699575898758
P99.5ServiceTimeSavedWithPutRatio3,0.12042755654472292
P99.9ServiceTimeUsed3,12.11678850351898
P99.9ServiceTimeUtil3,56.09624307184713
P99.9ServiceTimeSavedRatio3,0.16477948355183425
P99.9ServiceTimeUsedWithPut3,14.740381080442344
P99.9ServiceTimeWithPutUtil3,68.24250500204789
P99.9ServiceTimeSavedWithPutRatio3,0.09640980377376207
P99.99ServiceTimeUsed3,29.6044225567971
P99.99ServiceTimeUtil3,137.05751183702358
P99.99ServiceTimeSavedRatio3,0.01302991728956715
P99.99ServiceTimeUsedWithPut3,31.659940555748197
P99.99ServiceTimeWithPutUtil3,146.5737988692046
P99.99ServiceTimeSavedWithPutRatio3,0.009667485447443558
P99.999ServiceTimeUsed3,31.353185962127984
P99.999ServiceTimeUtil3,145.15363871355547
P99.999ServiceTimeSavedRatio3,0.006050867241160773
P99.999ServiceTimeUsedWithPut3,33.35189650328175
P99.999ServiceTimeWithPutUtil3,154.40692825593402
P99.999ServiceTimeSavedWithPutRatio3,0.005447846873094964
ServiceTimeTotalNew,3771.8794335664334
ServiceTimeOnPrefetch,0.0
ServiceTimeOnPrefetchRatio,0.0
ServiceTimeOnWastedPrefetch,0.0
ServiceTimeOnWastedPrefetchRatio,0.0
ServiceTimeSavedByPrefetch,0.0
ServiceTimeSavedByPrefetchRatio,0.0
NetServiceTimeForPrefetch,0.0
NetServiceTimeForGoodPrefetch,0.0
TotalEpisodesAdmitted,2460615
EvictionAvgTTL,0.0
SimWallClockTime,133.253164768219
SimRAMUsage,0.25418853759765625
WarmupTime,"[278, 701.2981331348419]"
Prefetch Ratio,0.0
Completed,True
Region,Region1
ExperimentSuffix,../../runs/example/dt-slru/acceptall-1_lru_366.475GB
ConfigFile,../../runs/example/dt-slru/acceptall-1_lru_366.475GB/config.json
Target Cache Size,366.475
RegionLabel,Region1
RegionLabelOrig,Region1
AdmissionPolicyLabel,AcceptAll
Label,DT-SLRU
